iter	Passed	Remaining
0	0	143
1	3	323
2	3	258
3	4	224
4	7	278
5	8	273
6	9	256
7	10	243
8	12	272
9	15	291
10	18	310
11	20	323
12	22	328
13	26	346
14	28	352
15	30	346
16	32	354
17	35	356
18	36	347
19	38	350
20	41	353
21	43	354
22	46	356
23	48	356
24	50	356
25	53	357
26	55	357
27	58	358
28	60	357
29	63	357
30	65	358
31	68	357
32	70	355
33	72	354
34	75	355
35	77	354
36	80	353
37	82	351
38	84	350
39	87	349
40	89	347
41	92	346
42	94	344
43	96	342
44	99	341
45	101	339
46	103	337
47	106	336
48	108	334
49	110	331
50	113	330
51	115	328
52	117	325
53	120	324
54	122	323
55	125	321
56	127	319
57	129	317
58	132	316
59	134	314
60	137	312
61	139	311
62	142	309
63	144	306
64	146	304
65	148	302
66	151	300
67	153	298
68	156	296
69	158	294
70	160	292
71	163	290
72	165	288
73	167	286
74	170	283
75	172	281
76	174	279
77	177	277
78	179	275
79	182	273
80	184	271
81	186	268
82	188	266
83	191	264
84	193	261
85	195	259
86	198	257
87	200	255
88	202	253
89	205	250
90	207	248
91	209	246
92	212	244
93	214	242
94	217	239
95	219	237
96	221	235
97	223	233
98	226	230
99	228	228
100	230	226
101	233	223
102	235	221
103	237	219
104	240	217
105	242	214
106	244	212
107	246	210
108	249	208
109	251	205
110	254	203
111	256	201
112	258	199
113	261	197
114	263	194
115	265	192
116	268	190
117	270	187
118	272	185
119	275	183
120	277	181
121	279	178
122	282	176
123	285	174
124	288	172
125	290	170
126	293	168
127	295	166
128	298	164
129	300	161
130	303	159
131	305	157
132	308	155
133	310	153
134	313	150
135	315	148
136	318	146
137	320	144
138	323	141
139	325	139
140	328	137
141	330	135
142	333	132
143	336	130
144	338	128
145	341	126
146	344	124
147	346	121
148	349	119
149	351	117
150	354	114
151	356	112
152	359	110
153	361	108
154	364	105
155	366	103
156	369	101
157	371	98
158	374	96
159	376	94
160	379	91
161	381	89
162	383	87
163	386	84
164	388	82
165	391	80
166	393	77
167	396	75
168	398	73
169	401	70
170	403	68
171	405	66
172	408	63
173	410	61
174	413	59
175	416	56
176	418	54
177	421	52
178	423	49
179	426	47
180	428	44
181	430	42
182	433	40
183	435	37
184	438	35
185	440	33
186	443	30
187	445	28
188	448	26
189	451	23
190	453	21
191	456	19
192	459	16
193	462	14
194	465	11
195	467	9
196	470	7
197	472	4
198	474	2
199	477	0
